ticker,contractSymbol,strike,type,expiration,lastPrice,theoretical_price,mispricing,impliedVolatility,delta,theta,vega,openInterest,volume,daysToExpiry,expiryBucket,RSI,UpperBB,LowerBB,EMA_Signal,MACD_Hist,bb_norm,rsi_norm,trend_pass,missing_signal,score
IWM,O:IWM250530P00198000,198.0,put,2025-05-30,13.23,20.58585948500472,-7.355859485004718,0.26983690362384,-0.660569013412298,-46.07736619733395,0.21590759412719152,5,4,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00199000,199.0,put,2025-05-30,15.22,21.30489493907335,-6.084894939073349,0.2676239017795859,-0.672270961031946,-45.300106890197355,0.21294020988151935,10,10,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00200000,200.0,put,2025-05-30,18.37,22.03457397519996,-3.6645739751999606,0.26623652269343673,-0.6837487324428618,-44.48638898891196,0.20981247819102306,13,5,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00201000,201.0,put,2025-05-30,15.7,22.774635697810808,-7.074635697810809,0.26322164613416105,-0.6949962064088646,-43.638894735797415,0.2065357309910737,7,1,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00203000,203.0,put,2025-05-30,21.17,24.284851040180627,-3.114851040180625,0.2557698895041217,-0.7167792744187155,-41.85333659755777,0.19958072913638314,6,2,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00205000,205.0,put,2025-05-30,24.37,25.833412667667005,-1.4634126676670043,0.2547156051847615,-0.7375849945596282,-39.9648520237419,0.1921660143911672,71,6,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250530P00206000,206.0,put,2025-05-30,24.66,26.621404516663148,-1.9614045166631477,0.24845488620396008,-0.7476132489807658,-38.98860697530755,0.18831428572608083,10,1,39,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250620C00095000,95.0,call,2025-06-20,119.8,88.20198453196913,31.598015468030866,0.6635695181281671,0.999745158457979,-2.939523590347407,0.000698081511103316,12,2,60,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250620C00100000,100.0,call,2025-06-20,88.3,83.2303906261645,5.06960937383549,0.4680431985599798,0.9993425270080407,-3.234105591076918,0.001681720958485369,58,2,60,31-60,,,,,,0.0,,False,False,4
IWM,O:IWM250620C00105000,105.0,call,2025-06-20,78.37,78.26434538275593,0.10565461724407044,0.6123798366028889,0.998474789767224,-3.6722707578208524,0.0036400585727715457,22,1,60,31-60,,,,,,0.0,,False,False,4
